# WITHOUT IMPUTERS
# userknn
5, 'pearson', 1.3082490915936413, 1.6052200444745839, 343.856136, 211.108978
10, 'pearson', 1.284422221282353, 1.5709683105475274, 341.147749, 206.824982
20, 'pearson', 1.2669110367479992, 1.5479060383335512, 341.767129, 205.506119
5, 'cosine', 1.1375042453301025, 1.4298743670579668, 314.682459, 215.876505
10, 'cosine', 1.13430791407964, 1.4184403958758633, 314.799441, 210.392497
20, 'cosine', 1.146377212600981, 1.4281958382359543, 316.437044, 429.644723
# itemknn
5, 'pearson', 1.2871390037649628, 1.6004641567845752, 29.289246, 11.612413
10, 'pearson', 1.2563354188622826, 1.5600302867348794, 29.255994, 10.998205
20, 'pearson', 1.2478897122718553, 1.5454930480494302, 30.245066, 11.250193
5, 'cosine', 1.2538176517865787, 1.5619410349500156, 27.639642, 10.958241
10, 'cosine', 1.2468363735780092, 1.5467227635143082, 27.650847, 11.042795
20, 'cosine', 1.2210818782114248, 1.503871123238623, 28.837034, 11.378809

#WITH IMPUTERS
